Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,121,9,Some Random Commen with Id 0
1,0,2,131,1,Some Random Commen with Id 1
2,1,9,127,8,Some Random Commen with Id 2
3,1,9,158,4,Some Random Commen with Id 3
4,1,9,119,0,Some Random Commen with Id 4
5,1,9,173,0,Some Random Commen with Id 5
6,1,9,159,7,Some Random Commen with Id 6
7,1,9,78,1,Some Random Commen with Id 7
8,1,9,7,0,Some Random Commen with Id 8
9,1,9,193,5,Some Random Commen with Id 9
10,2,8,159,8,Some Random Commen with Id 10
11,2,8,157,7,Some Random Commen with Id 11
12,2,8,72,2,Some Random Commen with Id 12
13,2,8,179,4,Some Random Commen with Id 13
14,2,8,117,5,Some Random Commen with Id 14
15,2,8,4,5,Some Random Commen with Id 15
16,2,8,100,8,Some Random Commen with Id 16
17,2,8,70,0,Some Random Commen with Id 17
18,2,8,9,3,Some Random Commen with Id 18
19,3,8,73,6,Some Random Commen with Id 19
20,3,8,178,5,Some Random Commen with Id 20
21,3,8,90,4,Some Random Commen with Id 21
22,4,3,7,3,Some Random Commen with Id 22
23,4,3,66,8,Some Random Commen with Id 23
24,4,3,152,8,Some Random Commen with Id 24
25,4,3,28,0,Some Random Commen with Id 25
26,5,5,79,7,Some Random Commen with Id 26
27,5,5,59,2,Some Random Commen with Id 27
28,5,5,108,2,Some Random Commen with Id 28
29,5,5,80,9,Some Random Commen with Id 29
30,6,1,96,6,Some Random Commen with Id 30
31,6,1,39,3,Some Random Commen with Id 31
32,7,3,177,1,Some Random Commen with Id 32
33,7,3,188,4,Some Random Commen with Id 33
34,7,3,103,5,Some Random Commen with Id 34
35,7,3,90,5,Some Random Commen with Id 35
36,8,8,126,8,Some Random Commen with Id 36
37,9,1,98,7,Some Random Commen with Id 37
38,9,1,73,3,Some Random Commen with Id 38
39,9,1,33,9,Some Random Commen with Id 39
40,9,1,149,0,Some Random Commen with Id 40
41,9,1,147,0,Some Random Commen with Id 41
42,9,1,151,4,Some Random Commen with Id 42
43,9,1,135,2,Some Random Commen with Id 43
44,9,1,118,3,Some Random Commen with Id 44
45,9,1,42,0,Some Random Commen with Id 45
46,10,2,110,6,Some Random Commen with Id 46
47,10,2,7,7,Some Random Commen with Id 47
48,11,1,11,8,Some Random Commen with Id 48
49,11,1,110,7,Some Random Commen with Id 49
50,11,1,195,4,Some Random Commen with Id 50
51,11,1,144,9,Some Random Commen with Id 51
52,11,1,101,7,Some Random Commen with Id 52
53,12,1,157,5,Some Random Commen with Id 53
54,12,1,2,2,Some Random Commen with Id 54
55,12,1,154,6,Some Random Commen with Id 55
56,12,1,34,9,Some Random Commen with Id 56
57,12,1,124,7,Some Random Commen with Id 57
58,12,1,8,4,Some Random Commen with Id 58
59,12,1,90,2,Some Random Commen with Id 59
60,13,6,8,1,Some Random Commen with Id 60
61,13,6,121,3,Some Random Commen with Id 61
62,13,6,21,0,Some Random Commen with Id 62
63,13,6,93,0,Some Random Commen with Id 63
64,13,6,114,2,Some Random Commen with Id 64
65,13,6,141,5,Some Random Commen with Id 65
66,13,6,95,9,Some Random Commen with Id 66
67,13,6,89,7,Some Random Commen with Id 67
68,14,4,88,2,Some Random Commen with Id 68
69,14,4,92,6,Some Random Commen with Id 69
70,14,4,53,6,Some Random Commen with Id 70
71,14,4,22,0,Some Random Commen with Id 71
72,15,4,156,9,Some Random Commen with Id 72
73,15,4,118,5,Some Random Commen with Id 73
74,15,4,125,4,Some Random Commen with Id 74
75,15,4,109,2,Some Random Commen with Id 75
76,15,4,48,4,Some Random Commen with Id 76
77,15,4,117,8,Some Random Commen with Id 77
78,16,3,173,3,Some Random Commen with Id 78
79,16,3,34,8,Some Random Commen with Id 79
80,16,3,59,8,Some Random Commen with Id 80
81,16,3,64,6,Some Random Commen with Id 81
82,16,3,194,0,Some Random Commen with Id 82
83,17,7,83,6,Some Random Commen with Id 83
84,18,6,96,5,Some Random Commen with Id 84
85,18,6,162,8,Some Random Commen with Id 85
86,18,6,148,6,Some Random Commen with Id 86
87,18,6,146,7,Some Random Commen with Id 87
88,18,6,78,7,Some Random Commen with Id 88
89,19,5,116,7,Some Random Commen with Id 89
90,19,5,133,9,Some Random Commen with Id 90
91,19,5,19,1,Some Random Commen with Id 91
92,19,5,188,4,Some Random Commen with Id 92
93,20,7,35,8,Some Random Commen with Id 93
94,20,7,60,3,Some Random Commen with Id 94
95,20,7,196,7,Some Random Commen with Id 95
96,20,7,50,0,Some Random Commen with Id 96
97,20,7,138,6,Some Random Commen with Id 97
98,20,7,3,3,Some Random Commen with Id 98
99,20,7,32,3,Some Random Commen with Id 99
100,20,7,10,0,Some Random Commen with Id 100
101,21,9,17,6,Some Random Commen with Id 101
102,21,9,135,8,Some Random Commen with Id 102
103,21,9,84,0,Some Random Commen with Id 103
104,21,9,0,0,Some Random Commen with Id 104
105,21,9,148,1,Some Random Commen with Id 105
106,21,9,151,9,Some Random Commen with Id 106
107,23,8,73,5,Some Random Commen with Id 107
108,24,8,197,1,Some Random Commen with Id 108
109,24,8,158,6,Some Random Commen with Id 109
110,24,8,195,6,Some Random Commen with Id 110
111,24,8,161,2,Some Random Commen with Id 111
112,24,8,118,8,Some Random Commen with Id 112
113,24,8,197,1,Some Random Commen with Id 113
114,24,8,161,2,Some Random Commen with Id 114
115,25,4,187,2,Some Random Commen with Id 115
116,25,4,52,6,Some Random Commen with Id 116
117,25,4,155,9,Some Random Commen with Id 117
118,25,4,55,8,Some Random Commen with Id 118
119,25,4,45,3,Some Random Commen with Id 119
120,25,4,47,9,Some Random Commen with Id 120
121,26,5,39,5,Some Random Commen with Id 121
122,26,5,48,9,Some Random Commen with Id 122
123,28,3,162,6,Some Random Commen with Id 123
124,28,3,83,2,Some Random Commen with Id 124
125,28,3,75,8,Some Random Commen with Id 125
126,28,3,83,9,Some Random Commen with Id 126
127,28,3,58,6,Some Random Commen with Id 127
128,28,3,67,8,Some Random Commen with Id 128
129,28,3,190,7,Some Random Commen with Id 129
130,28,3,141,7,Some Random Commen with Id 130
131,28,3,146,7,Some Random Commen with Id 131
132,29,6,193,7,Some Random Commen with Id 132
133,29,6,53,6,Some Random Commen with Id 133
134,30,5,144,3,Some Random Commen with Id 134
135,30,5,130,6,Some Random Commen with Id 135
136,30,5,47,3,Some Random Commen with Id 136
137,31,1,172,3,Some Random Commen with Id 137
138,32,5,170,0,Some Random Commen with Id 138
139,32,5,29,8,Some Random Commen with Id 139
140,32,5,34,3,Some Random Commen with Id 140
141,32,5,25,9,Some Random Commen with Id 141
142,32,5,46,1,Some Random Commen with Id 142
143,32,5,194,0,Some Random Commen with Id 143
144,33,7,29,6,Some Random Commen with Id 144
145,33,7,149,7,Some Random Commen with Id 145
146,33,7,189,9,Some Random Commen with Id 146
147,33,7,143,0,Some Random Commen with Id 147
148,34,7,125,0,Some Random Commen with Id 148
149,34,7,68,9,Some Random Commen with Id 149
150,34,7,87,2,Some Random Commen with Id 150
151,34,7,84,7,Some Random Commen with Id 151
152,34,7,187,1,Some Random Commen with Id 152
153,34,7,0,8,Some Random Commen with Id 153
154,34,7,34,2,Some Random Commen with Id 154
155,35,1,49,8,Some Random Commen with Id 155
156,35,1,133,3,Some Random Commen with Id 156
157,36,2,167,8,Some Random Commen with Id 157
158,36,2,184,0,Some Random Commen with Id 158
159,36,2,142,1,Some Random Commen with Id 159
160,36,2,34,9,Some Random Commen with Id 160
161,36,2,4,2,Some Random Commen with Id 161
162,37,0,109,5,Some Random Commen with Id 162
163,38,9,15,9,Some Random Commen with Id 163
164,38,9,73,9,Some Random Commen with Id 164
165,39,6,185,7,Some Random Commen with Id 165
166,39,6,107,4,Some Random Commen with Id 166
167,39,6,194,6,Some Random Commen with Id 167
168,39,6,101,6,Some Random Commen with Id 168
169,39,6,154,8,Some Random Commen with Id 169
